X,Y
1.113320477,5.107496169
5.041684411,17.82805716
3.225619694,11.89033442
7.899782884,26.75335686
5.116987632,17.85250775
1.332460929,5.733732035
3.71384377,13.22403495
3.892845524,13.81493739
8.14944741,27.39497767
4.085259553,14.39251939
4.336272834,15.43702571
0.381028139,2.782947075
2.332695933,9.061294725
3.870210335,13.97278173
5.658973545,19.59392161
5.144883517,18.01947747
3.663262723,13.06625567
7.63612005,25.7775979
2.640558905,9.800276047
9.602310514,32.09004663
9.2406539,31.22693824
5.391093367,18.83177019
1.425993416,6.040002788
2.239708839,8.591144326
2.51912873,9.531622891
1.752679109,6.961669933
9.367566258,31.45605008
2.048043221,7.879803004
8.587504629,29.17303621
3.385429115,12.50509553
1.97839189,7.637623166
8.176770059,27.84866857
8.138495687,27.35068322
8.872177087,29.98991673
8.868062051,30.05283402
9.914106007,33.26793035
2.448039587,9.288320667
3.54568897,12.84609234
4.833021777,17.06318251
4.06286797,14.63930646
2.922066117,11.03145943
9.101450771,30.7717681
6.995482064,24.02303453
6.188910072,21.39301278
2.008231704,8.014898636
9.275515886,31.2072478
0.567009402,3.388786772
8.4303982,28.45581588
9.102633802,30.76218714
9.363917762,31.60616789
3.475613983,12.51956856
5.000357335,17.47933961
4.907784665,17.0868352
2.618713062,9.913874258
7.964622285,26.93826641
3.317976073,12.15377751
1.930768265,7.742008713
6.241591605,21.62859622
4.66114833,16.32260307
2.778873298,10.57630687
5.826353723,20.30809603
8.89826271,29.92592788
3.526226725,12.94639014
6.488953061,22.28608292
1.599279847,6.612319654
0.245543467,2.112949356
5.561350201,19.4706056
9.437417535,31.84696824
8.787480412,29.61212489
2.339965512,9.063986297
7.66856391,25.97285671
6.677160369,22.8838226
0.626187447,3.375615363
0.203315221,2.079721732
0.178741781,2.162771533
1.069471704,4.943137558
1.944186582,7.806619783
6.205974427,21.43496881
6.056870031,20.90718353
1.024315149,4.623084464
5.875462398,20.33920441
2.279745545,8.761398792
0.867808029,4.137266494
7.375599957,24.94420243
1.949794149,7.860431025
5.59235462,19.45746183
6.32020377,21.56516218
0.998062005,4.833891452
0.453835274,2.886064493
9.198673654,30.84181526
6.419610347,22.22109391
1.229111916,5.25527036
4.268373931,15.33767679
8.687235993,29.35590819
5.925255617,20.41993609
7.768626624,26.30133165
8.569622921,28.74042111
7.774372649,26.34859012
7.783860335,26.44890693
4.535672926,16.04807781
